,Base Country,Base Country Lat,Base Country Lng,Relation Country,Relation Country Lat,Relation Country Lng,Men,Women,Children,Sex Trafficking,Forced Labor,Debt Bondage,Description
0,Afghanistan,33.93911,67.709953,India,20.593684,78.96288,1,1,1,0,1,0," Men, women, and children in Afghanistan often pay intermediaries to assist them in finding employment, primarily in Iran, Pakistan, India, Europe, or North America; some of these intermediaries force Afghans into labor or prostitution"
1,Afghanistan,33.93911,67.709953,Tajikistan,38.861034,71.276093,1,0,0,0,1,0," Under the pretense of high-paying employment opportunities, some labor recruiting agencies lure foreign workers to Afghanistan, including from Sri Lanka, Nepal, India, Iran, Pakistan, and Tajikistan; the recruiters subject these migrants to forced labor after arrival"
2,Afghanistan,33.93911,67.709953,Sri Lanka,7.873053999999999,80.77179699999999,1,0,0,0,1,0," Under the pretense of high-paying employment opportunities, some labor recruiting agencies lure foreign workers to Afghanistan, including from Sri Lanka, Nepal, India, Iran, Pakistan, and Tajikistan; the recruiters subject these migrants to forced labor after arrival"
3,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,1,0,0,0,1,0," Under the pretense of high-paying employment opportunities, some labor recruiting agencies lure foreign workers to Afghanistan, including from Sri Lanka, Nepal, India, Iran, Pakistan, and Tajikistan; the recruiters subject these migrants to forced labor after arrival"
4,Afghanistan,33.93911,67.709953,Nepal,28.394857,84.12400799999999,1,0,0,0,1,0," Under the pretense of high-paying employment opportunities, some labor recruiting agencies lure foreign workers to Afghanistan, including from Sri Lanka, Nepal, India, Iran, Pakistan, and Tajikistan; the recruiters subject these migrants to forced labor after arrival"
5,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,1,0,0,0,1,0," Under the pretense of high-paying employment opportunities, some labor recruiting agencies lure foreign workers to Afghanistan, including from Sri Lanka, Nepal, India, Iran, Pakistan, and Tajikistan; the recruiters subject these migrants to forced labor after arrival"
6,Afghanistan,33.93911,67.709953,India,20.593684,78.96288,1,0,0,0,1,0," Under the pretense of high-paying employment opportunities, some labor recruiting agencies lure foreign workers to Afghanistan, including from Sri Lanka, Nepal, India, Iran, Pakistan, and Tajikistan; the recruiters subject these migrants to forced labor after arrival"
7,Afghanistan,33.93911,67.709953,Tajikistan,38.861034,71.276093,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
8,Afghanistan,33.93911,67.709953,Sri Lanka,7.873053999999999,80.77179699999999,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
9,Afghanistan,33.93911,67.709953,Philippines,12.879721,121.774017,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
10,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
11,Afghanistan,33.93911,67.709953,China,35.86166,104.195397,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
12,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,0,1,1,1,0,0," There were reports of women and girls from the Philippines, Pakistan, Iran, Tajikistan, Sri Lanka, and China subjected to sex trafficking in Afghanistan"
13,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,1,0,1,0,0,0," Reportedly, the Iranian government and the Islamic Revolutionary Guards Corps (IRGC) coerce male Afghan migrants, including boys as young as 12, to fight in Syria in IRGC-organized and commanded militias, by threatening them with arrest and deportation to Afghanistan"
14,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,1,1,1,0,1,0," Men, women, and children in Afghanistan often pay intermediaries to assist them in finding employment, primarily in Iran, Pakistan, India, Europe, or North America; some of these intermediaries force Afghans into labor or prostitution"
15,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,1,1,1,0,1,0," Men, women, and children in Afghanistan often pay intermediaries to assist them in finding employment, primarily in Iran, Pakistan, India, Europe, or North America; some of these intermediaries force Afghans into labor or prostitution"
16,Afghanistan,33.93911,67.709953,India,20.593684,78.96288,0,1,1,1,1,0," Afghan women and girls are subjected to sex trafficking and domestic servitude primarily in Pakistan, Iran, and India, including through forced marriages in Iran and Pakistan"
17,Afghanistan,33.93911,67.709953,Syria,34.80207499999999,38.996815,1,0,1,0,0,0," Reportedly, the Iranian government and the Islamic Revolutionary Guards Corps (IRGC) coerce male Afghan migrants, including boys as young as 12, to fight in Syria in IRGC-organized and commanded militias, by threatening them with arrest and deportation to Afghanistan"
18,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,0,1,1,1,1,0," Afghan women and girls are subjected to sex trafficking and domestic servitude primarily in Pakistan, Iran, and India, including through forced marriages in Iran and Pakistan"
19,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,0,1,1,1,1,0," Afghan women and girls are subjected to sex trafficking and domestic servitude primarily in Pakistan, Iran, and India, including through forced marriages in Iran and Pakistan"
20,Afghanistan,33.93911,67.709953,Iran,32.427908,53.688046,1,0,1,0,1,1," Afghan boys and men are subjected to forced labor and debt bondage in agriculture and construction, primarily in Iran, Pakistan, Greece, Turkey, and the Gulf states"
21,Afghanistan,33.93911,67.709953,Pakistan,30.375321,69.34511599999999,1,0,1,0,1,1," Afghan boys and men are subjected to forced labor and debt bondage in agriculture and construction, primarily in Iran, Pakistan, Greece, Turkey, and the Gulf states"
22,Afghanistan,33.93911,67.709953,Turkey,38.963745,35.243322,1,0,1,0,1,1," Afghan boys and men are subjected to forced labor and debt bondage in agriculture and construction, primarily in Iran, Pakistan, Greece, Turkey, and the Gulf states"
23,Afghanistan,33.93911,67.709953,Greece,39.074208,21.824312,0,0,1,1,0,0, Some Afghan boys are subjected to sex trafficking in Greece after paying high fees to be smuggled into the country
24,Afghanistan,33.93911,67.709953,Greece,39.074208,21.824312,1,0,1,0,1,1," Afghan boys and men are subjected to forced labor and debt bondage in agriculture and construction, primarily in Iran, Pakistan, Greece, Turkey, and the Gulf states"
25,Albania,41.153332,20.168331,Kosovo,42.6026359,20.902977,0,0,1,0,1,0, NGOs report an increase in the number of Albanian children subjected to forced labor in Kosovo and the United Kingdom
26,Albania,41.153332,20.168331,United Kingdom,55.378051,-3.435973,0,0,1,0,1,0, NGOs report an increase in the number of Albanian children subjected to forced labor in Kosovo and the United Kingdom
27,Algeria,28.033886,1.659626,Nigeria,9.081999,8.675277,1,0,0,1,0,0," Undocumented sub-Saharan migrants, primarily from Mali, Niger, Burkina Faso, Cameroon, Guinea, Liberia, and Nigeria, are most vulnerable to labor and sex trafficking in Algeria, mainly due to their irregular migration status, poverty, and language barriers"
28,Algeria,28.033886,1.659626,Niger,17.607789,8.081666,0,0,1,0,1,0," Nigerien children, ranging from 4 to 8 years old, are brought to Algeria by trafficking networks with the consent of their parents and forced to beg for several months in Algeria before being returned to their families in Niger"
29,Algeria,28.033886,1.659626,Niger,17.607789,8.081666,0,0,1,0,1,0," Nigerien female migrants begging in Algeria, who often carry childrenŠsometimes rented from their mothers in NigerŠmay be forced labor victims"
30,Algeria,28.033886,1.659626,Niger,17.607789,8.081666,1,0,0,1,0,0," Undocumented sub-Saharan migrants, primarily from Mali, Niger, Burkina Faso, Cameroon, Guinea, Liberia, and Nigeria, are most vulnerable to labor and sex trafficking in Algeria, mainly due to their irregular migration status, poverty, and language barriers"
31,Algeria,28.033886,1.659626,Mali,17.570692,-3.996166,0,1,1,0,1,0," Tuareg and Maure smugglers and traffickers in northern Mali and southern Algeria force or coerce men to work as masons or mechanics; women to wash dishes, clothes, and cars; and children to draw water from wells in southern Algeria"
